City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
145,jayapura,-2.5333,140.7,25.66,80,74,2.02,ID,1687905164
146,ust-nera,64.5667,143.2,22.06,55,55,2.46,RU,1687905164
147,chichimila,20.6167,-88.2167,29.89,64,90,2.14,MX,1687905164
148,dryden,49.7833,-92.7503,21.16,68,75,2.57,CA,1687905123
149,cidreira,-30.1811,-50.2056,17.82,83,57,2.81,BR,1687905165
150,ola,59.5833,151.2833,13.1,83,63,2.28,RU,1687905165
151,karratha,-20.7377,116.8463,13.24,44,0,8.92,AU,1687905165
152,hilo,19.7297,-155.09,27.38,87,100,3.09,US,1687905165
153,cassilandia,-19.1133,-51.7342,20.11,48,0,1.77,BR,1687905165
154,jhinjhak,26.5667,79.7333,31.77,56,93,5.36,IN,1687905165
155,labytnangi,66.6572,66.4183,8.3,64,100,3.02,RU,1687905138
156,ago-are,8.5,3.4167,22.69,96,95,3.45,NG,1687905166
157,timbuktu,16.7735,-3.0074,28.02,62,79,6.75,ML,1687905166
158,nema,57.5067,50.5011,12.5,81,9,1.1,RU,1687905166
159,chota,-6.55,-78.65,14.45,84,71,2.02,PE,1687905166
160,port lincoln,-34.7333,135.8667,11.5,69,25,4.54,AU,1687905089
161,san luis de la loma,17.2706,-100.8939,31.08,65,32,3.63,MX,1687905167
162,namibe,-15.1961,12.1522,15.74,70,8,3.91,AO,1687905167
163,east london,-33.0153,27.9116,17.13,84,100,9.94,ZA,1687905168
164,thunder bay,48.4001,-89.3168,21.99,56,20,5.14,CA,1687905114
165,hithadhoo,-0.6,73.0833,27.83,70,41,2.15,MV,1687905168
166,flin flon,54.7682,-101.865,22.91,60,75,2.57,CA,1687905168
167,maun,-19.9833,23.4167,16.98,45,0,2.57,BW,1687905168
168,aioun,16.6614,-9.6149,34.88,27,99,2.02,MR,1687905168
169,badger,64.8,-147.5333,20.63,47,40,2.57,US,1687905168
170,pasni,25.2631,63.471,29.03,85,84,3.89,PK,1687905169
171,margate,51.3813,1.3862,18.82,78,100,2.24,GB,1687905037
172,kerikeri,-35.2268,173.9474,14.32,76,11,3.9,NZ,1687905169
173,okhotsk,59.3833,143.3,14.15,82,92,1.93,RU,1687905169
174,polonnaruwa,7.9333,81.0,26.89,71,94,3.68,LK,1687905169
175,souillac,-20.5167,57.5167,20.21,83,20,3.09,MU,1687905169
176,kill devil hills,36.0307,-75.676,28.0,78,40,7.72,US,1687905170
177,howard springs,-12.497,131.047,23.95,67,59,2.43,AU,1687905170
178,fort mcmurray,56.7268,-111.381,23.77,53,75,1.54,CA,1687905126
179,hasaki,35.7333,140.8333,27.34,93,99,4.89,JP,1687905170
180,kunshan,31.3776,120.9543,27.17,80,55,3.25,CN,1687905170
181,sittwe,20.15,92.9,26.34,88,100,3.1,MM,1687905170
182,port elizabeth,-33.918,25.5701,16.29,87,20,8.75,ZA,1687904874
183,nova sintra,14.8667,-24.7167,20.88,79,10,5.68,CV,1687905170
184,stanley,54.868,-1.6985,16.01,92,40,1.03,GB,1687905171
185,jiangyan,32.5061,120.1428,28.07,78,89,2.79,CN,1687905171
186,saint george's,12.0564,-61.7485,26.82,89,40,4.12,GD,1687905171
187,kirensk,57.7853,108.1119,11.59,98,100,3.95,RU,1687905171
188,koupela,12.1794,-0.3517,26.94,64,99,3.67,BF,1687905171
189,ancud,-41.8697,-73.8203,8.99,86,29,7.04,CL,1687905171
190,susuman,62.7833,148.1667,17.51,65,95,2.64,RU,1687905172
191,tiksi,71.6872,128.8694,6.24,75,96,5.31,RU,1687905172
192,riverton,40.5219,-111.9391,27.73,33,40,3.58,US,1687905172
193,iqaluit,63.7506,-68.5145,4.85,80,100,5.14,CA,1687905012
194,nizao,18.25,-70.2,30.26,71,75,2.78,DO,1687905172
195,nantucket,41.2835,-70.0995,23.03,94,100,6.69,US,1687905172
196,kuopio,62.8924,27.677,18.97,68,0,0.51,FI,1687905172
197,vila velha,-20.3297,-40.2925,22.75,87,0,4.31,BR,1687904988
198,rio verde de mato grosso,-18.9181,-54.8442,21.76,46,0,1.68,BR,1687905173
